thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,  0,  fast,       8196118,    2163891721,     1828430561,     5063966826,
1,  0,  slow_a,     8258022,    3169233157,     3153000354,     7104964666,
1,  0,  slow_b,     8297902,    4164538468,     4006977028,     6065949582,
1,  0,  slow_c,     8616910,    3666604403,     9955245891,     6572320234,
1,  0,  slow_d,     9423101,    7672234023,     26333501015,    17089700996,
1,  0,  slow_e,     513708684,  3168249409,     13728432711,    7077441684,
1,  0,  slow_f,     8185442,    2163792002,     1829730174,     5063649641,
2,  1,  fast,       8229949,    2164443471,     2103770406,     5085663182,
2,  1,  slow_a,     8291897,    3169558273,     3422272462,     7126014946,
2,  1,  slow_b,     16171888,   4165242519,     4280376720,     6088112760,
2,  1,  slow_c,     8669676,    3667113354,     10239548094,    6593980718,
2,  1,  slow_d,     9769337,    7675293570,     30929536620,    17119489754,
2,  1,  slow_e,     510796613,  3171228472,     20040446160,    7106832611,
2,  1,  slow_f,     8221631,    2164428182,     2103440283,     5085579450,
2,  0,  fast,       8255939,    2164290453,     2108369426,     5085283007,
2,  0,  slow_a,     8300270,    3169463763,     3431717675,     7125776776,
2,  0,  slow_b,     119991515,  4168031889,     12974042116,    6097132352,
2,  0,  slow_c,     742996429,  3702445582,     112382797074,   6706802013,
2,  0,  slow_d,     1876952905, 71165539921,    323099821788,   244594077436,
2,  0,  slow_e,     888240299,  3173330029,     28740821411,    7114270051,
2,  0,  slow_f,     8254685,    2164298716,     2108454337,     5085326842,
